Cellltypes
Astro
Endo
EN_L2_3|3_5_IT_mixture
EN_L2_3_IT_1
EN_L2_3_IT_2
EN_L3_5_IT_1
EN_L3_5_IT_2
EN_L3_5_IT_3
EN_L3_5_IT_4
EN_L5_6_NP
EN_L6B
EN_L6_CT
EN_L6_IT_1
EN_L6_IT_2
Immune
IN_ADARB2
IN_LAMP5_LHX6
IN_LAMP5_RELN
IN_low
IN_PVALB_CHC
IN_PVALB
IN_SST
IN_VIP
Micro
Oligo
OPC
PC
SMC
Vascular_mixture
VLMC
